RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
1.52172,13.48,3.74,0.9,72.01,0.18,9.61,0,0.07,1
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0,0,1
1.52152,13.05,3.65,0.87,72.22,0.19,9.85,0,0.17,1
1.52152,13.05,3.65,0.87,72.32,0.19,9.85,0,0.17,1
1.52152,13.12,3.58,0.9,72.2,0.23,9.82,0,0.16,1
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0,0.03,1
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0,0,2
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,2
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,2
1.51709,13,3.47,1.79,72.72,0.66,8.18,0,0,2
1.5166,12.99,3.18,1.23,72.97,0.58,8.81,0,0.24,2
1.51839,12.85,3.67,1.24,72.57,0.62,8.68,0,0.35,2
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,3
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0,0.37,3
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,5
1.52119,12.97,0.33,1.51,73.39,0.13,11.27,0,0.28,5
1.51969,14.56,0,0.56,73.48,0,11.22,0,0,6
1.51115,17.38,0,0.34,75.41,0,6.65,0,0,6
1.5164,14.37,0,2.74,72.85,0,9.45,0.54,0,7
1.51623,14.14,0,2.88,72.61,0.08,9.18,1.06,0,7
1.51685,14.92,0,1.99,73.06,0,8.4,1.59,0,7
1.52065,14.36,0,2.02,73.42,0,8.44,1.64,0,7
1.51651,14.38,0,1.94,73.61,0,8.48,1.57,0,7
1.51711,14.23,0,2.08,73.36,0,8.62,1.67,0,7